,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
82,Wales,W06000023,Powys,9252.0,9117.0,9765.0,10624.0,10934.0,11235.0,11732.0,12521.0,12976.0,13443.0,13729.0,14401.0,14448.0,15090.0,15269.0,15759.0,15923.0,16140.0,16563.0,16668.0,17448.0,18239.0,18287.0
85,South West,E06000023,"Bristol, City of",10365.0,10485.0,10952.0,11635.0,12106.0,12271.0,12479.0,12885.0,13091.0,13684.0,14331.0,14719.0,14643.0,15133.0,15508.0,15757.0,16295.0,16873.0,17812.0,18354.0,18751.0,19592.0,20249.0
86,South West,E06000022,Bath and North East Somerset,12395.0,12806.0,13461.0,13876.0,13964.0,14016.0,14505.0,14797.0,15513.0,16458.0,17104.0,17780.0,17656.0,18092.0,18448.0,18947.0,19632.0,20223.0,21633.0,21753.0,21802.0,23129.0,23515.0
87,South West,E06000024,North Somerset,12299.0,12617.0,13175.0,13535.0,13561.0,13663.0,14157.0,14600.0,15230.0,16017.0,16594.0,17341.0,17218.0,17412.0,17838.0,18364.0,19105.0,19719.0,21174.0,21179.0,21295.0,22636.0,22878.0
88,South West,E06000025,South Gloucestershire,11692.0,12116.0,12701.0,12965.0,13140.0,13400.0,13749.0,14006.0,14532.0,15374.0,15924.0,16537.0,16595.0,16910.0,17309.0,17869.0,18543.0,19127.0,20570.0,20626.0,20814.0,21813.0,22900.0
89,South West,E07000078,Cheltenham,11875.0,12009.0,12589.0,13349.0,13889.0,13969.0,14052.0,14747.0,15725.0,16490.0,16881.0,17539.0,17492.0,17973.0,18214.0,18821.0,19736.0,20711.0,21644.0,21845.0,22082.0,22682.0,23197.0
90,South West,E07000079,Cotswold,15641.0,15835.0,16519.0,17620.0,17873.0,17767.0,17767.0,18673.0,19998.0,20711.0,21749.0,22516.0,22068.0,22627.0,22617.0,23439.0,24361.0,25617.0,27066.0,27253.0,26807.0,28566.0,29350.0
91,South West,E07000080,Forest of Dean,9767.0,9721.0,10161.0,10612.0,10997.0,11091.0,11281.0,11737.0,12643.0,13336.0,13654.0,14239.0,14489.0,15043.0,15299.0,15673.0,16327.0,17005.0,17698.0,17755.0,17924.0,18898.0,19572.0
92,South West,E07000081,Gloucester,9674.0,9759.0,10180.0,10577.0,11135.0,11252.0,11470.0,11894.0,12638.0,13375.0,13482.0,13831.0,14387.0,14680.0,14916.0,15307.0,16009.0,16715.0,17228.0,17373.0,17575.0,18385.0,18751.0
93,South West,E07000082,Stroud,11985.0,12128.0,12629.0,13458.0,13930.0,14040.0,14119.0,14833.0,15854.0,16529.0,17234.0,17809.0,17679.0,18035.0,18296.0,18890.0,19681.0,20643.0,21564.0,21634.0,21786.0,23034.0,23588.0
